run_at,workflow,ref,model,prompt_tokens,cached_tokens_explore,completion_tokens,total_tokens,cost_usd,status,explore_turns,test_pass_pct,temperature,files_written,issue_length
2026-07-05T09:07:43Z,calvin-auto,100,codestral-latest,4397,3720,8117,0.004667,success,,,,,,
2026-07-05T13:05:56Z,calvin-auto-body,100,codestral-latest,3447,3476,6923,0.004162,success,,,,,,
2026-07-05T14:38:34Z,calvin-auto-body,100,codestral-latest,2461,4070,6531,0.004401,success,,,,,,
2026-07-05T15:14:26Z,calvin-auto-body,100,codestral-latest,0,0,0,0.0,failure,,,,,,
2026-07-05T15:22:48Z,calvin-auto-body,100,codestral-latest,5447,4546,9993,0.005726,success,,,,,,
2026-07-05T16:56:27Z,calvin,100,codestral-latest,0,0,0,0.0,failure,,,,,,
2026-07-05T17:03:42Z,calvin,100,codestral-latest,4506,3937,8443,0.004895,success,,,,,,
2026-07-05T17:23:36Z,calvin,100,codestral-latest,3993,3428,7421,0.004283,success,,,,,,
2026-07-05T17:49:54Z,calvin,100,codestral-latest,7642,4677,12319,0.006502,success,12,,,,,
2026-07-05T17:59:23Z,calvin,100,codestral-latest,7370,5016,12386,0.006725,success,10,,,,,
2026-07-05T18:07:54Z,calvin,100,codestral-latest,4471,3022,7493,0.004061,success,6,,,,,
2026-07-05T19:48:18Z,calvin,100,codestral-latest,4976,2900,7876,0.004103,success,8,,,,,
2026-07-05T20:05:06Z,calvin,100,codestral-latest,5406,3944,9350,0.005171,success,8,,,,,
2026-07-05T20:56:15Z,calvin,100,codestral-latest,5406,3314,8720,0.004604,success,8,,,,,
2026-07-05T21:09:24Z,calvin,100,codestral-latest,5406,3260,8666,0.004556,success,8,,,12,5999,
2026-07-05T21:29:18Z,calvin,100,codestral-latest,5423,3398,8821,0.004685,success,8,,,12,5999,
2026-07-05T23:44:41Z,calvin,100,codestral-latest,4920,3140,8060,0.004302,success,7,,,11,4460,
2026-07-06T12:45:17Z,calvin,100,codestral-latest,4977,2940,7917,0.004139,success,8,,,11,4460,
2026-07-06T13:02:57Z,calvin,100,codestral-latest,0,0,0,0.0,failure,7,,,,4460,
2026-07-06T13:16:45Z,calvin,100,codestral-latest,4944,2995,7939,0.004179,success,7,,,11,4460,
2026-07-06T13:26:02Z,calvin,100,codestral-latest,4944,3052,7996,0.00423,success,7,,,11,4460,
2026-07-06T13:30:20Z,calvin,100,codestral-latest,4944,3016,7960,0.004198,success,7,,,11,4460,
2026-07-06T14:45:07Z,calvin-pr-fix,156,codestral-latest,0,0,0,0.0,failure,,,,,0,
2026-07-06T14:48:23Z,calvin-pr-fix,156,codestral-latest,1952,363,2315,0.000912,success,,,,1,0,
2026-07-06T14:52:23Z,calvin,100,codestral-latest,4944,3192,8136,0.004356,success,7,,,11,4460,
2026-07-06T14:56:43Z,calvin-pr-fix,157,codestral-latest,2070,371,2441,0.000955,success,,,,1,0,
2026-07-06T15:01:16Z,calvin,101,codestral-latest,3970,2488,6458,0.00343,success,7,,,5,3062,
2026-07-06T15:04:34Z,calvin-pr-fix,158,codestral-latest,0,0,0,0.0,failure,,,,,0,
2026-07-06T15:08:05Z,calvin-pr-fix,158,codestral-latest,2342,752,3094,0.001379,success,,,,1,0,
2026-07-06T18:01:55Z,calvin,100,codestral-latest,0,0,0,0.0,failure,,,,,4460,
2026-07-06T18:12:29Z,calvin,100,codestral-latest,3863,3264,7127,0.004096,failure,9,,,,4460,
2026-07-06T18:17:43Z,calvin,100,codestral-latest,4323,3228,7551,0.004202,success,9,,,11,4460,
2026-07-06T23:07:55Z,calvin,100,codestral-latest,0,0,0,0.0,failure,9,,,,4460,
2026-07-06T23:10:09Z,calvin,100,codestral-latest,3700,3059,6759,0.003863,success,9,,,11,4460,
2026-07-07T16:11:57Z,calvin,100,codestral-latest,4361,3215,7576,0.004202,success,13,,,11,4460,
2026-07-07T17:46:40Z,calvin,100,codestral-latest,3962,3157,7119,0.00403,success,10,,,11,4460,
2026-07-07T17:51:58Z,calvin-pr-fix,171,codestral-latest,0,0,0,0.0,failure,,,,,0,
2026-07-07T18:17:42Z,calvin,100,codestral-latest,3714,2988,6702,0.003803,success,30,,,11,4460,
2026-07-07T18:25:17Z,calvin,100,codestral-latest,3845,2934,6779,0.003794,success,30,,,11,4460,
2026-07-07T19:14:24Z,calvin,101,codestral-latest,4360,1988,6348,0.003097,success,10,,,5,4036,
2026-07-07T20:53:29Z,calvin,101,codestral-latest,4751,2876,7627,0.004014,success,12,,,5,4036,
2026-07-07T20:58:40Z,calvin,101,codestral-latest,4819,1979,6798,0.003227,success,12,,,5,4036,
2026-07-07T21:05:39Z,calvin,101,codestral-latest,4819,2318,7137,0.003532,success,12,,,5,4036,
2026-07-07T21:07:11Z,calvin,101,codestral-latest,4819,2326,7145,0.003539,success,12,,,5,4036,
2026-07-07T21:09:57Z,calvin,101,codestral-latest,4303,2296,6599,0.003357,success,12,,,5,4036,
2026-07-07T21:12:31Z,calvin,101,codestral-latest,6623,2573,9196,0.004303,success,30,,,5,4036,
2026-07-07T22:29:14Z,calvin,101,codestral-latest,6534,1710,8244,0.003499,success,30,,,3,2113,
2026-07-07T22:39:48Z,calvin,101,codestral-latest,5164,2156,7320,0.00349,success,30,,,5,2113,
2026-07-07T22:53:30Z,calvin,101,codestral-latest,6458,2025,8483,0.00376,success,30,,,7,2113,
2026-07-07T23:10:03Z,calvin,101,codestral-latest,6459,1979,8438,0.003719,success,8,,,5,2113,
2026-07-07T23:17:15Z,calvin,101,codestral-latest,6459,2762,9221,0.004424,success,8,,,6,2113,
2026-07-10T00:46:32Z,calvin,102,codestral-latest,4635,3293,7928,0.004354,failure,8,,,,3171,
2026-07-10T00:49:30Z,calvin,102,codestral-latest,4635,4316,8951,0.005275,failure,8,,,,3171,
2026-07-10T00:53:01Z,calvin,102,codestral-latest,4635,5470,10105,0.006314,failure,8,,,,3171,
2026-07-10T00:55:34Z,calvin,102,codestral-latest,4635,3509,8144,0.004549,"",8,,0.0,10,3171,
2026-07-10T01:06:53Z,calvin,102,codestral-latest,3682,3292,6974,0.004067,"",8,,0.0,12,3171,
2026-07-10T10:34:12Z,calvin,102,codestral-latest,4110,5369,9479,0.006065,"",8,,0.0,16,4589,
2026-07-11T14:34:01Z,calvin,102,codestral-latest,4200,4556,8756,0.00536,"",8,,0.0,15,4708,
2026-07-11T14:44:31Z,calvin,102,codestral-latest,4596,4296,8892,0.005245,"",8,,0.0,14,4708,
2026-07-11T14:53:11Z,calvin,102,codestral-latest,4414,4460,8874,0.005338,"",8,,0.0,15,4708,
2026-07-11T16:22:37Z,calvin,102,codestral-latest,4603,4008,8611,0.004988,"",8,,0.0,14,4708,
2026-07-12T11:18:44Z,calvin,102,codestral-latest,3602,4177,7779,0.00484,"",8,,0.0,10,1956,
2026-07-12T12:05:49Z,calvin,102,codestral-latest,2538,2775,5313,0.003259,"",8,,0.0,9,1956,
2026-07-12T12:11:26Z,calvin,102,codestral-latest,2726,2884,5610,0.003413,"",8,,0.0,9,1956,
2026-07-12T12:24:48Z,calvin,102,codestral-latest,2538,2785,5323,0.003268,failure,8,,,,1956,
2026-07-12T12:29:21Z,calvin,102,codestral-latest,2726,2821,5547,0.003357,"",8,,0.0,9,1956,
2026-07-12T14:12:27Z,calvin,102,codestral-latest,2538,2600,5138,0.003101,"",8,,0.0,9,1956,
2026-07-12T14:25:50Z,calvin,102,codestral-latest,2538,2811,5349,0.003291,"",8,,0.0,9,1956,
2026-07-12T14:32:02Z,calvin,102,codestral-latest,3857,2704,6561,0.003591,"",8,,0.0,12,1956,
2026-07-12T14:56:24Z,calvin,102,codestral-latest,3857,3581,7438,0.00438,"",8,,0.0,17,1956,
2026-07-12T15:19:46Z,calvin,102,codestral-latest,3812,,2590,6402,0.003475,"",8,,0.0,11,1956
2026-07-12T15:22:07Z,calvin,102,codestral-latest,3935,,2870,6805,0.003764,"",9,,0.0,11,1956
2026-07-12T15:59:41Z,calvin,102,codestral-latest,3240,,3494,6734,0.004117,"",9,,0.0,10,1956
2026-07-12T16:27:48Z,calvin,102,codestral-latest,2903,,3192,6095,0.003744,"",9,,0.0,10,1956
2026-07-12T16:31:44Z,calvin,102,codestral-latest,3961,,2274,6235,0.003235,"",9,,0.0,12,1956
2026-07-12T16:34:15Z,calvin,102,codestral-latest,3960,,2942,6902,0.003836,"",9,,0.0,10,1956
2026-07-12T16:41:16Z,calvin,102,codestral-latest,3984,,3453,7437,0.004303,"",9,,0.0,14,1956
2026-07-12T16:57:02Z,calvin,102,codestral-latest,3817,,3914,7731,0.004668,"",9,,0.0,12,1956
2026-07-12T17:33:55Z,calvin,102,codestral-latest,4731,,3859,8590,0.004892,failure,9,,,,1956
2026-07-12T17:37:42Z,calvin,102,codestral-latest,4879,,2176,7055,0.003422,"",9,,0.0,10,1956
2026-07-12T17:43:40Z,calvin,102,codestral-latest,4796,,3636,8432,0.004711,"",9,,0.0,14,1956
2026-07-12T17:47:19Z,calvin,102,codestral-latest,4796,,3863,8659,0.004916,"",9,,0.0,14,1956
2026-07-12T17:54:45Z,calvin,102,codestral-latest,4885,,3012,7897,0.004176,"",9,,0.0,15,1956
2026-07-12T18:11:10Z,calvin,102,codestral-latest,4262,,4475,8737,0.005306,"",9,,0.0,14,1956
2026-07-12T18:16:30Z,calvin,102,codestral-latest,3424,,4247,7671,0.00485,"",12,,0.0,14,1956
2026-07-12T18:25:41Z,calvin,102,codestral-latest,4262,,4116,8378,0.004983,"",9,,0.0,12,1956
2026-07-12T21:03:34Z,calvin,102,codestral-latest,4249,,2528,6777,0.00355,"",9,,0.0,10,1956
2026-07-12T21:26:13Z,calvin,102,codestral-latest,4414,,2351,6765,0.00344,"",9,,0.0,10,1956
2026-07-12T21:38:11Z,calvin,102,codestral-latest,4439,,3923,8362,0.004862,"",9,,0.0,3,1956
